timestamp,alcochete,barreiro
2026-06-19T23:00,,0.0
2026-06-20T00:00,,0.0
2026-06-20T01:00,,0.0
2026-06-20T02:00,,0.0
2026-06-20T03:00,,0.0
2026-06-20T04:00,,0.0
2026-06-20T05:00,,0.0
2026-06-20T06:00,,0.0
2026-06-20T07:00,,0.0
2026-06-20T08:00,,0.0
2026-06-20T09:00,,0.0
2026-06-20T10:00,,0.0
2026-06-20T11:00,,0.0
2026-06-20T12:00,,0.0
2026-06-20T13:00,,0.0
2026-06-20T14:00,,0.0
2026-06-20T15:00,,0.0
2026-06-20T16:00,,0.0
2026-06-20T17:00,,0.0
2026-06-20T18:00,,0.0
2026-06-20T19:00,,0.0
2026-06-20T20:00,,0.0
2026-06-20T21:00,,0.0
2026-06-20T22:00,,0.0
